hpirank,country,year,iso,yearcode,continent,populationthousands,lifeexpectancy,ladderwellbeing,ecofootprint,hpi,biocapacity,gdp
57,Serbia,2015,SRB,2015SRB,7,8876.777,75.3,5.317685127,2.855840383,46.18605787,1.61,15627.94862
55,Slovakia,2015,SVK,2015SVK,7,5435.614,76.8,6.162004471,4.145402606,46.24839464,1.61,28767.60276
77,Slovenia,2015,SVN,2015SVN,7,2071.199,80.7,5.740642071,4.869947718,43.36917874,1.61,33912.92825
42,Sweden,2015,SWE,2015SWE,3,9764.949,82.3,7.28892231,6.04098689,48.15009952,1.61,51091.58922
,Eswatini,2015,SWZ,2015SWZ,5,1104.038,55.4,,1.980561544,,1.61,8304.613326
136,Chad,2015,TCD,2015TCD,5,14110.971,53.1,4.322675228,1.725248801,29.95960257,1.61,1857.107337
123,Togo,2015,TGO,2015TGO,5,7323.162,59.9,3.768301964,1.078348985,34.23152633,1.61,1447.229049
9,Thailand,2015,THA,2015THA,8,68714.519,76.1,6.201762676,2.442232465,54.87633155,1.61,16301.53809
18,Tajikistan,2015,TJK,2015TJK,7,8454.019,70.1,5.124210835,0.877953739,52.70636418,1.61,2821.656311
124,Turkmenistan,2015,TKM,2015TKM,7,5565.283,67.7,5.791460037,5.399333895,34.19830863,1.61,12993.52247
,Trinidad and Tobago,2015,TTO,2015TTO,1,1370.332,72.9,,7.110527688,,1.61,29182.57065
36,Tunisia,2015,TUN,2015TUN,4,11179.951,75.9,5.131611824,2.152264003,49.15310868,1.61,10519.73939
58,Turkey,2015,TUR,2015TUR,4,78529.413,76.5,5.514465332,3.281165573,46.16614895,1.61,26041.52835
,Taiwan,2015,TWN,2015TWN,8,23557.473,79.7495,6.450088024,,,1.61,#N/A
121,Tanzania,2015,TZA,2015TZA,5,51482.638,63.1,3.660597324,1.354596322,34.48131845,1.61,2354.139221
100,Uganda,2015,UGA,2015UGA,5,38225.447,61.4,4.237686634,1.075465705,38.30611876,1.61,2054.090126
104,Ukraine,2015,UKR,2015UKR,7,44921.636,71.5,3.964542866,2.278177551,37.73761847,1.61,11237.07446
,Uruguay,2015,URY,2015URY,1,3412.013,77.4,6.628080368,,,1.61,20588.39312
105,United States of America,2015,USA,2015USA,2,320878.312,78.9,6.863946915,8.068903862,37.71290626,1.61,58509.58354
20,Uzbekistan,2015,UZB,2015UZB,7,30929.556,70.9,5.972364426,1.983254491,51.94984692,1.61,6086.715742
61,Venezuela,2015,VEN,2015VEN,1,30081.827,72.6,5.568800449,2.838176968,45.93564945,1.61,..
41,Vietnam,2015,VNM,2015VNM,8,92677.082,75.1,5.076315403,2.121977798,48.35691874,1.61,6438.260271
,Vanuatu,2015,VUT,2015VUT,8,271.128,69.9,6.631873439,,,1.61,3037.784742
119,Yemen,2015,YEM,2015YEM,4,26497.881,66.1,2.982673883,0.708112521,34.866719,1.61,..
127,South Africa,2015,ZAF,2015ZAF,5,55386.369,62.6,4.887325764,3.302355293,33.46703325,1.61,12840.0354
78,Zambia,2015,ZMB,2015ZMB,5,15879.37,61.7,4.843164444,0.932807649,43.26301794,1.61,3443.555206
125,Zimbabwe,2015,ZWE,2015ZWE,5,13814.642,59.5,3.70319128,1.059412767,33.6325062,1.61,2958.209004
83,Afghanistan,2016,AFG,2016AFG,6,35383.028,63.8,4.220168591,0.701342232,42.04274923,1.6,2057.062164
50,Albania,2016,ALB,2016ALB,7,2886.427,78.2,4.511100769,1.958895085,47.42776412,1.6,12331.12775
121,United Arab Emirates,2016,ARE,2016ARE,4,9360.975,77.5,6.83095026,8.81626146,34.98120005,1.6,66510.86746
24,Argentina,2016,ARG,2016ARG,1,43508.459,76.2,6.427221298,3.191666261,51.99075157,1.6,23189.52745
72,Armenia,2016,ARM,2016ARM,7,2936.147,74.6,4.325471878,1.864460043,44.13751633,1.6,11303.0717
52,Australia,2016,AUS,2016AUS,2,24262.71,83,7.250080109,6.42539913,46.88539264,1.6,48347.03166
51,Austria,2016,AUT,2016AUT,3,8747.306,81.3,7.048071861,5.851399947,46.93854373,1.6,53439.41395
41,Azerbaijan,2016,AZE,2016AZE,7,9736.041,72.5,5.303894997,1.957670423,48.84719645,1.6,14238.78414
128,Burundi,2016,BDI,2016BDI,5,10488.002,60.5,3.339909077,0.660994808,33.79186488,1.6,794.6045744
65,Belgium,2016,BEL,2016BEL,3,11354.407,81.1,6.948936462,6.235419323,44.89112374,1.6,49988.07943
123,Benin,2016,BEN,2016BEN,5,10872.072,60.9,4.007357597,1.463542632,34.61954904,1.6,2961.441778
109,Burkina Faso,2016,BFA,2016BFA,5,18646.35,60.4,4.205634594,1.138078772,36.99844683,1.6,1981.426838
